customer_id,first_order_date,last_order_date,frequency,monetary,avg_review,cancelled_orders,returned_orders,total_orders,preferred_category,preferred_payment,avg_delivery_days,avg_discount_rate,recency_days,customer_age_days,avg_order_value,cancel_rate,return_rate,churn,has_delivered_order
CUST00001,2021-02-06,2022-11-05,5,8460532.35,4.0,0,0,5,Electronics,Debit Card,8.333333333333334,0.2,421,1058,1692106.47,0.0,0.0,1,1
CUST00002,2021-05-14,2023-07-09,5,5161394.49,3.8,0,0,5,Home & Living,Bank Transfer,6.5,0.06999999999999999,175,961,1032278.898,0.0,0.0,0,1
CUST00003,2021-06-08,2021-06-08,1,307478.12,4.0,0,0,1,Electronics,E-Wallet,10.0,0.0,936,936,307478.12,0.0,0.0,1,1
CUST00004,2021-03-18,2022-05-17,4,1225596.12,4.75,0,0,4,Automotive,Bank Transfer,8.25,0.1625,593,1018,306399.03,0.0,0.0,1,1
CUST00005,2021-03-12,2023-10-31,3,226086.02,4.0,1,0,3,Books,COD,9.0,0.08333333333333333,61,1024,75362.00666666667,0.3333333333333333,0.0,0,1
CUST00006,2021-07-10,2021-07-10,1,420984.6,5.0,0,0,1,Health,Credit Card,7.333333333333333,0.0,904,904,420984.6,0.0,0.0,1,0
CUST00007,2021-08-21,2022-02-13,2,472085.0,4.5,1,0,2,Automotive,Bank Transfer,4.0,0.4,686,862,236042.5,0.5,0.0,1,1
CUST00008,2022-05-23,2023-09-25,4,1120309.79,2.5,0,0,4,Electronics,Unknown,4.333333333333333,0.0875,97,587,280077.4475,0.0,0.0,0,1
CUST00009,2023-10-07,2023-10-07,1,889906.36,3.0,0,0,1,Home & Living,Debit Card,5.0,0.3,85,85,889906.36,0.0,0.0,0,1
CUST00010,2022-03-24,2023-11-20,3,5600156.38,4.333333333333333,0,0,3,F&B,Bank Transfer,7.5,0.05000000000000001,41,647,1866718.7933333332,0.0,0.0,0,1
CUST00011,2022-01-19,2022-03-16,2,60671.81,3.5,1,0,2,Home & Living,Bank Transfer,11.0,0.275,655,711,30335.905,0.5,0.0,1,1
CUST00012,2021-07-06,2023-09-07,5,361085.68,4.0,0,0,5,Beauty,Bank Transfer,4.8,0.01,115,908,72217.136,0.0,0.0,0,1
CUST00013,2021-03-25,2022-09-03,3,1314175.32,4.666666666666667,0,0,3,Beauty,E-Wallet,7.0,0.06666666666666667,484,1011,438058.44,0.0,0.0,1,1
CUST00014,2023-05-31,2023-05-31,1,484396.8,5.0,0,0,1,Automotive,Credit Card,8.0,0.2,214,214,484396.8,0.0,0.0,1,1
CUST00015,2023-01-09,2023-05-13,2,1572485.3800000001,5.0,0,0,2,Automotive,Bank Transfer,9.5,0.15,232,356,786242.6900000001,0.0,0.0,1,1
CUST00016,2021-01-20,2023-11-14,4,1303301.74,3.25,0,1,4,Automotive,Debit Card,5.333333333333333,0.175,47,1075,325825.435,0.0,0.25,0,1
CUST00017,2021-04-30,2023-10-05,6,4139709.33,3.8333333333333335,0,0,6,Books,E-Wallet,7.6,0.16666666666666666,87,975,689951.555,0.0,0.0,0,1
CUST00018,2021-10-19,2022-07-20,2,6016265.39,2.5,0,0,2,Automotive,Bank Transfer,10.5,0.275,529,803,3008132.695,0.0,0.0,1,1
CUST00019,2021-05-05,2023-02-07,4,1654974.7200000002,3.5,0,0,4,Electronics,COD,7.0,0.1875,327,970,413743.68000000005,0.0,0.0,1,1
CUST00020,2023-08-31,2023-12-25,2,170052.21,4.5,0,0,2,Electronics,Credit Card,4.5,0.25,6,122,85026.105,0.0,0.0,0,1
